x,g
0.188,-0.147260526336
0.19,-0.14834421
0.192,-0.149417066496
0.194,-0.150479084496
0.196,-0.151530253056
0.198,-0.152570561616
0.2,-0.1536
0.202,-0.154618558416
0.204,-0.155626227456
0.206,-0.156622998096
0.208,-0.157608861696
0.21,-0.15858381
0.212,-0.159547835136
0.214,-0.160500929616
0.216,-0.161443086336
0.218,-0.162374298576
0.22,-0.16329456
0.222,-0.164203864656
0.224,-0.165102206976
0.226,-0.165989581776
0.228,-0.166865984256
0.23,-0.16773141
0.232,-0.168585854976
0.234,-0.169429315536
0.236,-0.170261788416
0.238,-0.171083270736
0.24,-0.17189376
0.242,-0.172693254096
0.244,-0.173481751296
0.246,-0.174259250256
0.248,-0.175025750016
0.25,-0.17578125
0.252,-0.176525750016
0.254,-0.177259250256
0.256,-0.177981751296
0.258,-0.178693254096
0.26,-0.17939376
0.262,-0.180083270736
0.264,-0.180761788416
0.266,-0.181429315536
0.268,-0.182085854976
0.27,-0.18273141
0.272,-0.183365984256
0.274,-0.183989581776
0.276,-0.184602206976
